,player_name,shot_outcome_name,gk_name,player_team,gk_team,season,date,,,
0,Bobby Reid,Goal,Artur Boruc,Cardiff,Bournemouth,18/19,02-02-2019,,,
1,Eden Hazard,Goal,Karl Darlow,Chelsea,Newcastle,17/18,02-12-2017,,,
2,Mohamed Salah,Saved,Jonas Lössl,Liverpool,Huddesfield,17/18,28-10-2017,,,
3,Joshua King,Goal,Jordan Pickford,Bournemouth,Everton,18/19,25-08-2018,,,
4,Wayne Mark Rooney,Goal,Mathew Ryan,Everton,Brighton,17/18,15-10-2017,,,
5,Mohamed Salah,Goal,David Button,Liverpool,Brighton,18/19,12-01-2019,,,
6,Glenn Murray,Saved,Kasper Schmeichel,Brighton,Leicester,17/18,31-03-2018,,,
7,Paul Pogba,Goal,Sergio Rico González,Man Utd,Fulham,18/19,09-02-2019,,,
8,Charlie Austin,Saved,Wayne Hennessey,Southampton,Crystal Palace,18/19,01-09-2018,,,
9,Mark Noble,Goal,Martin Dúbravka,West Ham,Newcastle,18/19,02-03-2019,,,
10,Matt Ritchie,Goal,Ederson Santana de Moraes,Newcastle,Man City,18/19,29-01-2019,,,
11,Alexandre Lacazette,Goal,Ben Foster,Arsenal,Huddesfield,17/18,25-09-2017,,,
12,Jamie Vardy,Goal,Ben Foster,Leicester,Watford,18/19,01-12-2018,,,
13,Junior Stanislas,Goal,Wayne Hennessey,Bournemouth,Crystal Palace,18/19,01-10-2018,,,
14,James Philip Milner,Goal,Sergio Rico González,Liverpool,Fulham,18/19,17-03-2019,,,
15,Aaron Mooy,Goal,Kasper Schmeichel,Huddersfield,Leicester,18/19,06-04-2019,,,
16,Jamie Vardy,Goal,Ben Hamer,Leicester,Huddersfield,18/19,06-04-2019,,,
17,Pascal Groß,Saved,Marcus Bettinelli,Brighton,Fulham,18/19,01-09-2018,,,
18,Glenn Murray,Goal,Marcus Bettinelli,Brighton,Fulham,18/19,01-09-2018,,,
19,Eden Hazard,Goal,Martin Dúbravka,Chelsea,Newcastle,18/19,26-08-2018,,,
20,Aaron Mooy,Goal,Heurelho da Silva Gomes,Huddersfield,Watford,17/18,16-12-2017,,,
21,Joshua King,Goal,Ben Foster,Bournemouth,Watford,18/19,06-10-2018,,,
22,Harry Kane,Saved,Loris Karius,Tottenham,Liverpool,17/18,04-02-2018,,,
23,Harry Kane,Goal,Loris Karius,Tottenham,Liverpool,17/18,04-02-2018,,,
24,Gabriel Fernando de Jesus,Goal,Rui Pedro dos Santos Patrício,Man City,Wolves,18/19,14-01-2019,,,
25,Jamie Vardy,Goal,Thibaut Courtois,Leicester,Chelsea,17/18,09-09-2017,,,
26,Paul Pogba,Saved,Joe Hart,Man Utd,Burnley,18/19,02-09-2018,,,
27,Gylfi Þór Sigurðsson,Saved,Kepa Arrizabalaga Revuelta,Everton,Chelsea,18/19,17-03-2019,,,
28,Paul Pogba,Goal,David Button,Man Utd,Brighton,18/19,19-01-2019,,,
29,James Philip Milner,Goal,Wayne Hennessey,Liverpool,Crystal Palace,18/19,20-08-2018,,,
30,Jamie Vardy,Goal,Petr Čech,Leicester,Arsenal,17/18,09-05-2018,,,
31,Luka Milivojević,Goal,Loris Karius,Crystal Palace,Liverpool,17/18,31-03-2018,,,
32,Wayne Mark Rooney,Saved,Mathew Ryan,Everton,Brighton,17/18,10-03-2018,,,
33,Mohamed Salah,Goal,Bernd Leno,Liverpool,Arsenal,18/19,29-12-2018,,,
34,Roberto Firmino Barbosa de Oliveira,Goal,Bernd Leno,Liverpool,Arsenal,18/19,29-12-2018,,,
35,Luka Milivojević,Goal,Mathew Ryan,Crystal Palace,Brighton,18/19,09-03-2019,,,
36,Paul Pogba,Goal,Kasper Schmeichel,Man Utd,Leicester,18/19,10-08-2018,,,
37,Paul Pogba,Saved,Angus Gunn,Man Utd,Southampton,18/19,02-03-2019,,,
38,Paul Pogba,Saved,Jordan Pickford,Man Utd,Everton,18/19,28-10-2018,,,
39,Gylfi Þór Sigurðsson,Goal,David de Gea Quintana,Everton,Man Utd,18/19,28-10-2018,,,
40,Sergio Leonel Agüero del Castillo,Goal,Karl Darlow,Man City,Newcastle,17/18,20-01-2018,,,
41,Daniel William John Ings,Goal,Mathew Ryan,Southampton,Brighton,18/19,17-09-2018,,,
42,Glenn Murray,Goal,Alex McCarthy,Brighton,Southampton,18/19,17-09-2018,,,
43,Eden Hazard,Goal,Jonas Lössl,Chelsea,Huddersfield,18/19,02-02-2019,,,
44,Leighton Baines,Goal,Heurelho da Silva Gomes,Everton,Watford,17/18,05-11-2017,,,
45,Tom Cleverley,Off T,Jordan Pickford,Watford,Everton,17/18,05-11-2017,,,
46,Joshua King,Goal,Orestis Karnezis,Bournemouth,Watford,17/18,31-03-2018,,,
47,Mohamed Salah,Goal,Martin Dúbravka,Liverpool,Newcastle,18/19,26-12-2018,,,
48,Glenn Murray,Goal,Wayne Hennessey,Brighton,Crystal Palace,18/19,04-12-2018,,,
49,Luka Milivojević,Goal,Mathew Ryan,Crystal Palace,Brighton,18/19,04-12-2018,,,
50,Charlie Adam,Saved,Mathew Ryan,Stoke,Brighton,17/18,10-02-2018,,,
51,Harry Kane,Goal,Jonas Lössl,Tottenham,Huddersfield,18/19,29-09-2018,,,
52,Rajiv van La Parra,Goal,Asmir Begović,Huddersfield,Bournemouth,17/18,11-02-2018,,,
53,Sergio Leonel Agüero del Castillo,Goal,Petr Čech,Man City,Arsenal,17/18,05-11-2017,,,
54,James Philip Milner,Goal,Neil Leonard Dula Etheridge,Liverpool,Cardiff,18/19,21-04-2019,,,
55,James Ward-Prowse,Goal,Kasper Schmeichel,Southampton,Leicester,18/19,12-01-2019,,,
56,André Ayew Pelé,Saved,Rob Elliot,West Ham,Newcastle,17/18,23-12-2017,,,
57,Luka Milivojević,Goal,Bernd Leno,Crystal Palace,Arsenal,18/19,28-10-2018,,,
58,Luka Milivojević,Goal,Bernd Leno,Crystal Palace,Arsenal,18/19,28-10-2018,,,
59,Mark Noble,Goal,Wayne Hennessey,West Ham,Crystal Palace,17/18,30-01-2018,,,
60,José Luis Sanmartín Mato,Saved,Nick Pope,Newcastle,Burnley,17/18,31-01-2018,,,
61,Gabriel Fernando de Jesus,Post,Hugo Lloris,Man City,Tottenham,17/18,16-12-2017,,,
62,Eden Hazard,Goal,Neil Leonard Dula Etheridge,Chelsea,Cardiff,18/19,15-09-2018,,,
63,Mark Noble,Goal,Vicente Guaita Panadero,West Ham,Crystal Palace,18/19,09-02-2019,,,
64,Harry Kane,Goal,Bernd Leno,Tottenham,Arsenal,18/19,,,,
65,Pierre-Emerick Aubameyang,Saved,Hugo Lloris,Arsenal,Tottenham,18/19,02-03-2019,,,
66,Sergio Leonel Agüero del Castillo,Goal,Kepa Arrizabalaga Revuelta,Man City,Chelsea,18/19,10-02-2019,,,
67,Troy Deeney,Goal,Thibaut Courtois,Watford,Chelsea,17/18,05-02-2018,,,
68,Harry Kane,Goal,Nick Pope,Tottenham,Burnley,17/18,23-12-2017,,,
69,Pierre-Emerick Aubameyang,Goal,Neil Leonard Dula Etheridge,Arsenal,Cardiff,18/19,29-01-2019,,,
70,Xherdan Shaqiri,Saved,Łukasz Fabiański,Stoke,Swansea,17/18,13-05-2018,,,
71,Roberto Firmino Barbosa de Oliveira,Goal,Heurelho da Silva Gomes,Liverpool,Watford,17/18,12-08-2017,,,
72,Marko Arnautović,Goal,Asmir Begović,West Ham,Bournemouth,18/19,18-08-2018,,,
73,Luka Milivojević,Goal,Ben Hamer,Crystal Palace,Huddesfield,18/19,30-03-2019,,,
74,Pierre-Emerick Aubameyang,Goal,Mathew Ryan,Arsenal,Brighton,18/19,05-05-2019,,,
75,Glenn Murray,Goal,Bernd Leno,Brighton,Arsenal,18/19,05-05-2019,,,
76,Luka Milivojević,Goal,Łukasz Fabiański,Crystal Palace,Swansea,17/18,23-12-2017,,,
77,Gylfi Þór Sigurðsson,Post,Marcus Bettinelli,Everton,Fulham,18/19,29-09-2018,,,
78,Pascal Groß,Goal,David de Gea Quintana,Brighton,Man Utd,18/19,19-08-2018,,,
79,Paul Pogba,Goal,Mathew Ryan,Man Utd,Brighton,18/19,19-08-2018,,,
80,Rúben Diogo Da Silva Neves,Goal,Hugo Lloris,Wolves,Tottenham,18/19,03-11-2018,,,
81,Raúl Alonso Jiménez Rodríguez,Goal,Hugo Lloris,Wolves,Tottenham,18/19,03-11-2018,,,
82,Mohamed Salah,Goal,Jonas Lössl,Liverpool,Huddersfield,17/18,30-01-2018,,,
83,Wayne Mark Rooney,Saved,Łukasz Fabiański,Everton,Swansea,17/18,18-12-2017,,,
84,Wayne Mark Rooney,Goal,Łukasz Fabiański,Everton,Swansea,17/18,18-12-2017,,,
85,Pierre-Emerick Aubameyang,Saved,Ederson Santana de Moraes,Arsenal,Man City,17/18,01-03-2018,,,
86,Joshua King,Goal,Kasper Schmeichel,Bournemouth,Leicester,18/19,15-09-2018,,,
87,James Maddison,Goal,Asmir Begović,Leicester,Bournemouth,18/19,15-09-2018,,,
88,Luka Milivojević,Goal,Jonas Lössl,Crystal Palace,Huddesfield,17/18,17-03-2018,,,
89,Sergio Leonel Agüero del Castillo,Goal,Łukasz Fabiański,Man City,West Ham,18/19,27-02-2019,,,
90,Manolo Gabbiadini,Goal,Rob Elliot,Southampton,Newcastle,17/18,15-10-2017,,,
91,Troy Deeney,Goal,Łukasz Fabiański,Watford,West Ham,18/19,22-12-2018,,,
92,Pierre-Emerick Aubameyang,Goal,David de Gea Quintana,Arsenal,Man Utd,18/19,10-03-2019,,,
93,Willian Borges da Silva,Goal,Jack Butland,Chelsea,Stoke,17/18,30-12-2017,,,
94,Jamie Vardy,Saved,Hugo Lloris,Leicester,Tottenham,18/19,10-02-2019,,,
95,Anthony Martial,Goal,Jordan Pickford,Man Utd,Everton,17/18,17-09-2017,,,
96,Aboubakar Kamara,Goal,David de Gea Quintana,Fulham,Man Utd,18/19,08-12-2018,,,
97,Matt Ritchie,Saved,Jordan Pickford,Newcastle,Everton,18/19,09-03-2019,,,
98,Jamie Vardy,Goal,Martin Dúbravka,Leicester,Newcastle,18/19,29-09-2018,,,
99,Pierre-Emerick Aubameyang,Goal,Jack Butland,Arsenal,Stoke,17/18,01-04-2018,,,
100,Alexandre Lacazette,Goal,Jack Butland,Arsenal,Stoke,17/18,01-04-2018,,,
101,Gabriel Fernando de Jesus,Saved,Łukasz Fabiański,Man City,Swansea,17/18,22-04-2018,,,
102,Joe Ralls,Saved,Łukasz Fabiański,Cardiff,West Ham,18/19,04-12-2018,,,
103,Jamie Vardy,Goal,Jordan Pickford,Leicester,Everton,17/18,31-01-2018,,,
104,Mark Noble,Goal,Jack Butland,West Ham,Stoke,17/18,16-12-2017,,,
105,Eden Hazard,Goal,Ben Foster,Chelsea,Watford,18/19,26-12-2018,,,
106,Ashley Barnes,Goal,Mathew Ryan,Burnley,Brighton,18/19,9-02-2019,,,
107,Aleksandar Mitrović,Goal,Artur Boruc,Fulham,Bournemouth,18/19,20-04-2019,,,
108,Robert Kenedy Nunes do Nascimento,Saved,Neil Leonard Dula Etheridge,Newcastle,Cardiff,18/19,18-08-2018,,,
109,İlkay Gündoğan,Goal,Hugo Lloris,Man City,Tottenham,17/18,14-04-2018,,,
110,Paul Pogba,Goal,Tom Heaton,Man Utd,Burnley,18/19,29-01-2019,,,
111,Glenn Murray,Goal,Alex McCarthy,Brighton,Southampton,17/18,31-01-2018,,,
112,Junior Stanislas,Goal,Jack Butland,Bournemouth,Stoke,17/18,21-10-2017,,,
113,Jamie Vardy,Goal,Mathew Ryan,Leicester,Brighton,18/19,24-11-2018,,,
114,Jamie Vardy,Goal,Jonas Lössl,Leicester,Huddersfield,17/18,16-09-2017,,,
115,Pierre-Emerick Aubameyang,Goal,Hugo Lloris,Arsenal,Tottenham,18/19,02-12-2018,,,
116,Harry Kane,Goal,Bernd Leno,Tottenham,Arsenal,18/19,,,,
117,Jamie Vardy,Goal,Orestis Karnezis,Leicester,Watford,17/18,20-01-2018,,,
118,Glenn Murray,Goal,Joe Hart,Brighton,West Ham,17/18,20-10-2017,,,
119,Luka Milivojević,Saved,Ederson Santana de Moraes,Crystal Palace,Man City,17/18,31-12-2017,,,
120,Mark Noble,Goal,Ben Foster,West Ham,Watford,18/19,12-05-2019,,,
121,Wayne Mark Rooney,Saved,Joe Hart,Everton,West Ham,17/18,29-11-2017,,,
122,Manuel Lanzini,Saved,Jordan Pickford,West Ham,Everton,17/18,29-11-2017,,,
123,Jordan Ayew,Goal,Adrián San Miguel del Castillo,Swansea,West Ham,17/18,03-03-2018,,,
124,Luka Milivojević,Goal,Rui Pedro dos Santos Patrício,Crystal Palace,Wolves,18/19,02-01-2019,,,
125,Alexis Alejandro Sánchez Sánchez,Saved,Jonas Lössl,Man Utd,Huddesfield,17/18,03-02-2018,,,
126,Joshua King,Goal,Kasper Schmeichel,Bournemouth,Leicester,17/18,03-03-2018,,,
127,Luka Milivojević,Saved,Jordan Pickford,Crystal Palace,Everton,18/19,21-10-2018,,,
128,Joshua King,Goal,Martin Dúbravka,Bournemouth,Newcastle,18/19,16-03-2019,,,
129,Eden Hazard,Goal,Petr Čech,Chelsea,Arsenal,17/18,03-01-2018,,,
130,Aboubakar Kamara,Saved,Jonas Lössl,Fulham,Huddesfield,18/19,29-12-2018,,,
131,Wayne Mark Rooney,Goal,Simon Mignolet,Everton,Liverpool,17/18,10-12-2017,,,
132,Luka Milivojević,Goal,Asmir Begović,Crystal Palace,Bournemouth,17/18,09-12-2017,,,
133,Christian Benteke Liolo,Saved,Asmir Begović,Crystal Palace,Bournemouth,17/18,09-12-2017,,,
134,Luka Milivojević,Goal,Sergio Rico González,Crystal Palace,Fulham,18/19,02-02-2019,,,
135,Christian Benteke Liolo,Goal,Ben Hamer,Crystal Palace,Leicester,17/18,28-04-2018,,,
136,Gylfi Þór Sigurðsson,Saved,Ben Foster,Everton,Watford,18/19,10-12-2018,,,
137,Callum Paterson,Goal,David de Gea Quintana,Cardiff,Man Utd,18/19,22-12-2018,,,
138,Jesse Lingard,Goal,Neil Leonard Dula Etheridge,Man Utd,Cardiff,18/19,22-12-2018,,,
139,Luka Milivojević,Goal,Karl Darlow,Crystal Palace,Newcastle,17/18,04-02-2018,,,
140,Jay Rodriguez,Goal,Petr Čech,West Brom,Arsenal,17/18,31-12-2017,,,
141,Harry Kane,Goal,Mathew Ryan,Tottenham,Brighton,18/19,22-09-2018,,,
142,Troy Deeney,Goal,David de Gea Quintana,Watford,Man Utd,17/18,28-11-2017,,,
143,Paul Pogba,Goal,Łukasz Fabiański,Man Utd,West Ham,18/19,13-04-2019,,,
144,Paul Pogba,Goal,Łukasz Fabiański,Man Utd,West Ham,18/19,13-04-2019,,,
145,Pascal Groß,Goal,Hugo Lloris,Brighton,Tottenham,17/18,17-04-2018,,,
146,Raheem Shaquille Sterling,Goal,Heurelho da Silva Gomes,Man City,Watford,17/18,16-09-2017,,,
147,Nathaniel Mendez-Laing,Goal,David de Gea Quintana,Cardiff,Man Utd,18/19,12-05-2019,,,
148,Riyad Mahrez,Off T,Alisson Ramsés Becker,Man City,Liverpool,18/19,07-10-2018,,,
149,Dušan Tadić,Goal,Joe Hart,Southampton,West Ham,17/18,19-08-2017,,,
150,Charlie Austin,Goal,Joe Hart,Southampton,West Ham,17/18,19-08-2017,,,
151,Sergio Leonel Agüero del Castillo,Goal,Nick Pope,Man City,Burnley,17/18,21-10-2017,,,
152,Joshua King,Goal,Rui Pedro dos Santos Patrício,Bournemouth,Wolves,18/19,23-02-2019,,,
153,Raúl Alonso Jiménez Rodríguez,Goal,Artur Boruc,Wolves,Bournemouth,18/19,23-02-2019,,,
154,Joshua King,Post,Rui Pedro dos Santos Patrício,Bournemouth,Wolves,18/19,23-02-2019,,,
155,Glenn Murray,Off T,Nick Pope,Brighton,Burnley,17/18,16-12-2017,,,
156,Romelu Lukaku Menama,Saved,Kasper Schmeichel,Everton,Leicester,17/18,26-08-2017,,,
157,Luka Milivojević,Goal,Ederson Santana de Moraes,Crystal Palace,Man City,18/19,22-12-2018,,,
158,Callum Wilson,Saved,Neil Leonard Dula Etheridge,Bournemouth,Cardiff,18/19,11-08-2018,,,
159,Troy Deeney,Goal,Petr Čech,Watford,Arsenal,17/18,14-10-2017,,,
160,Ashley Barnes,Goal,Alex McCarthy,Burnley,Southampton,18/19,02-02-2019,,,
161,Daniel William John Ings,Goal,Jonas Lössl,Southampton,Huddesfield,18/19,22-12-2018,,,
162,Luka Milivojević,Goal,Kasper Schmeichel,Crystal Palace,Leicester,18/19,23-02-2019,,,
163,Jamie Vardy,Saved,Simon Mignolet,Leicester,Liverpool,17/18,23-09-2017,,,
164,Daniel William John Ings,Goal,Ederson Santana de Moraes,Southampton,Man City,18/19,04-11-2018,,,
165,Jorge Luiz Frello Filho,Goal,Ben Hamer,Chelsea,Huddesfield,18/19,11-08-2018,,,
166,Glenn Murray,Goal,Simon Mignolet,Brighton,Liverpool,17/18,02-12-2017,,,
167,Troy Deeney,Saved,Petr Čech,Watford,Arsenal,17/18,11-03-2018,,,
168,Glenn Murray,Goal,Łukasz Fabiański,Brighton,Swansea,17/18,24-02-2018,,,
169,Luka Milivojević,Goal,Martin Dúbravka,Crystal Palace,Newcastle,18/19,06-04-2019,,,
170,Troy Deeney,Saved,Martin Dúbravka,Watford,Newcastle,17/18,05-05-2018,,,
171,Mark Noble,Goal,Jonas Lössl,West Ham,Huddersfield,18/19,16-03-2019,,,
172,Saido Berahino,Saved,Fraser Forster,Stoke,Southampton,17/18,30-09-2017,,,
173,Luka Milivojević,Goal,Joe Hart,Crystal Palace,West Ham,17/18,28-10-2017,,,
174,Alexis Alejandro Sánchez Sánchez,Goal,Nick Pope,Arsenal,Burnley,17/18,26-11-2017,,,
175,Callum Wilson,Goal,Sergio Rico González,Bournemouth,Fulham,18/19,27-10-2018,,,
176,Anthony Martial,Goal,Ederson Santana de Moraes,Man Utd,Man City,18/19,11-11-2018,,,
177,Leighton Baines,Goal,Julián Speroni,Everton,Crystal Palace,17/18,18-11-2017,,,
178,Sergio Leonel Agüero del Castillo,Goal,Jonas Lössl,Man City,Huddesfield,17/18,26-11-2017,,,
179,Gylfi Þór Sigurðsson,Goal,Joe Hart,Everton,Burnley,18/19,26-12-2018,,,
180,Rúben Diogo Da Silva Neves,Goal,Jordan Pickford,Wolves,Everton,18/19,02-02-2019,,,
181,James Maddison,Saved,Neil Leonard Dula Etheridge,Leicester,Cardiff,18/19,29-12-2018,,,
182,Luka Milivojević,Goal,Jordan Pickford,Crystal Palace,Everton,17/18,10-02-2018,,,